Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
A1L0T0,sp|A1L0T0|HACL2_HUMAN,sp|A1L0T0|HACL2_HUMAN;2-hydroxyacyl-CoA lyase 2 OS=Homo sapiens OX=9606 GN=ILVBL PE=1 SV=2,1,1,3,,,0.78043,,,
A2RRD8,sp|A2RRD8|ZN320_HUMAN;sp|Q96N58|ZN578_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q05481|ZNF91_HUMAN,sp|A2RRD8|ZN320_HUMAN;Zinc finger protein 320 OS=Homo sapiens OX=9606 GN=ZNF320 PE=1 SV=1;sp|Q96N58|ZN578_HUMAN;Zinc finger protein 578 OS=Homo sapiens OX=9606 GN=ZNF578 PE=1 SV=2;sp|Q8N4W9|ZN808_HUMAN;Zinc finger protein 808 OS=Homo sapiens OX=9606 GN=ZNF,0,0,0,1.3766,1.0845,,,,
Q96N58,sp|A2RRD8|ZN320_HUMAN;sp|Q96N58|ZN578_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q05481|ZNF91_HUMAN,sp|A2RRD8|ZN320_HUMAN;Zinc finger protein 320 OS=Homo sapiens OX=9606 GN=ZNF320 PE=1 SV=1;sp|Q96N58|ZN578_HUMAN;Zinc finger protein 578 OS=Homo sapiens OX=9606 GN=ZNF578 PE=1 SV=2;sp|Q8N4W9|ZN808_HUMAN;Zinc finger protein 808 OS=Homo sapiens OX=9606 GN=ZNF,0,0,0,1.3766,1.0845,,,,
Q8N4W9,sp|A2RRD8|ZN320_HUMAN;sp|Q96N58|ZN578_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q05481|ZNF91_HUMAN,sp|A2RRD8|ZN320_HUMAN;Zinc finger protein 320 OS=Homo sapiens OX=9606 GN=ZNF320 PE=1 SV=1;sp|Q96N58|ZN578_HUMAN;Zinc finger protein 578 OS=Homo sapiens OX=9606 GN=ZNF578 PE=1 SV=2;sp|Q8N4W9|ZN808_HUMAN;Zinc finger protein 808 OS=Homo sapiens OX=9606 GN=ZNF,0,0,0,1.3766,1.0845,,,,
Q05481,sp|A2RRD8|ZN320_HUMAN;sp|Q96N58|ZN578_HUMAN;sp|Q8N4W9|ZN808_HUMAN;sp|Q05481|ZNF91_HUMAN,sp|A2RRD8|ZN320_HUMAN;Zinc finger protein 320 OS=Homo sapiens OX=9606 GN=ZNF320 PE=1 SV=1;sp|Q96N58|ZN578_HUMAN;Zinc finger protein 578 OS=Homo sapiens OX=9606 GN=ZNF578 PE=1 SV=2;sp|Q8N4W9|ZN808_HUMAN;Zinc finger protein 808 OS=Homo sapiens OX=9606 GN=ZNF,0,0,0,1.3766,1.0845,,,,
A2RRP1,sp|A2RRP1|NBAS_HUMAN,sp|A2RRP1|NBAS_HUMAN;NBAS subunit of NRZ tethering complex OS=Homo sapiens OX=9606 GN=NBAS PE=1 SV=2,0,1,0,,,,,,
A3KN83,sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,sp|A3KN83|SBNO1_HUMAN;Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1;sp|Q9Y2G9|SBNO2_HUMAN;Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=2 SV=3,0,0,0,,,,,,
Q9Y2G9,sp|A3KN83|SBNO1_HUMAN;sp|Q9Y2G9|SBNO2_HUMAN,sp|A3KN83|SBNO1_HUMAN;Protein strawberry notch homolog 1 OS=Homo sapiens OX=9606 GN=SBNO1 PE=1 SV=1;sp|Q9Y2G9|SBNO2_HUMAN;Protein strawberry notch homolog 2 OS=Homo sapiens OX=9606 GN=SBNO2 PE=2 SV=3,0,0,0,,,,,,
A5YKK6,sp|A5YKK6|CNOT1_HUMAN,sp|A5YKK6|CNOT1_HUMAN;CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2,0,1,0,,,,,,
P30046,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,sp|P30046|DOPD_HUMAN;D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN;D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1,1,1,1,,,,,,
A6NHG4,sp|P30046|DOPD_HUMAN;sp|A6NHG4|DDTL_HUMAN,sp|P30046|DOPD_HUMAN;D-dopachrome decarboxylase OS=Homo sapiens OX=9606 GN=DDT PE=1 SV=3;sp|A6NHG4|DDTL_HUMAN;D-dopachrome decarboxylase-like protein OS=Homo sapiens OX=9606 GN=DDTL PE=2 SV=1,1,1,1,,,,,,
A6NHL2,sp|A6NHL2|TBAL3_HUMAN,sp|A6NHL2|TBAL3_HUMAN;Tubulin alpha chain-like 3 OS=Homo sapiens OX=9606 GN=TUBAL3 PE=1 SV=2,0,0,0,,,,,,
A6NHQ2,sp|A6NHQ2|FBLL1_HUMAN,sp|A6NHQ2|FBLL1_HUMAN;rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2,0,0,0,,,,,,
A6NHR9,sp|A6NHR9|SMHD1_HUMAN,sp|A6NHR9|SMHD1_HUMAN;Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2,1,3,2,,0.6069,,,,
Q7Z3J3,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2,1,1,1,0.79629,,0.51476,,,
A6NKT7,sp|Q7Z3J3|RGPD4_HUMAN;sp|A6NKT7|RGPD3_HUMAN,sp|Q7Z3J3|RGPD4_HUMAN;RanBP2-like and GRIP domain-containing protein 4 OS=Homo sapiens OX=9606 GN=RGPD4 PE=2 SV=3;sp|A6NKT7|RGPD3_HUMAN;RanBP2-like and GRIP domain-containing protein 3 OS=Homo sapiens OX=9606 GN=RGPD3 PE=3 SV=2,1,1,1,0.79629,,0.51476,,,
P07355,sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN,sp|P07355|ANXA2_HUMAN;Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;sp|A6NMY6|AXA2L_HUMAN;Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,0,1,0,,,,,,
A6NMY6,sp|P07355|ANXA2_HUMAN;sp|A6NMY6|AXA2L_HUMAN,sp|P07355|ANXA2_HUMAN;Annexin A2 OS=Homo sapiens OX=9606 GN=ANXA2 PE=1 SV=2;sp|A6NMY6|AXA2L_HUMAN;Putative annexin A2-like protein OS=Homo sapiens OX=9606 GN=ANXA2P2 PE=5 SV=2,0,1,0,,,,,,
A8CG34,sp|A8CG34|P121C_HUMAN,sp|A8CG34|P121C_HUMAN;Nuclear envelope pore membrane protein POM 121C OS=Homo sapiens OX=9606 GN=POM121C PE=1 SV=3,0,0,1,,,,,,
Q99613,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,sp|Q99613|EIF3C_HUMAN;Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN;Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,8,9,6,0.47933,0.64058,0.49783,-0.8909827414401271,0.0008282621526234363,0.0032220307915241365
B5ME19,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,sp|Q99613|EIF3C_HUMAN;Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN;Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,8,9,6,0.47933,0.64058,0.49783,-0.8909827414401271,0.0008282621526234363,0.0032220307915241365
O00116,sp|O00116|ADAS_HUMAN,"sp|O00116|ADAS_HUMAN;Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1",1,1,1,,,,,,
O00139,sp|O00139|KIF2A_HUMAN,sp|O00139|KIF2A_HUMAN;Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,0,0,0,,,,,,
O00148,sp|O00148|DX39A_HUMAN,sp|O00148|DX39A_HUMAN;ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,1,1,1,0.69282,0.479,0.53831,-0.8108565012084802,0.002516414029360713,
O00159,sp|O00159|MYO1C_HUMAN,sp|O00159|MYO1C_HUMAN;Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,6,4,2,0.8547,0.91143,0.4756,-0.42034997419154463,0.1383796452040512,0.15725969310508545
O00170,sp|O00170|AIP_HUMAN,sp|O00170|AIP_HUMAN;AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3,5,4,5,3.4659,2.5823,6.6777,2.0847332842292317,0.059703486264968644,0.0727539901473284
O00178,sp|O00178|GTPB1_HUMAN,sp|O00178|GTPB1_HUMAN;GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3,1,2,1,1.0985,0.83097,,,,
O00186,sp|O00186|STXB3_HUMAN,sp|O00186|STXB3_HUMAN;Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2,1,1,1,,,,,,
O00193,sp|O00193|SMAP_HUMAN,sp|O00193|SMAP_HUMAN;Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1,5,4,4,2.1826,2.6379,3.2342,1.4248683555511952,0.00521184281648088,0.009814888770066218
O00203,sp|O00203|AP3B1_HUMAN,sp|O00203|AP3B1_HUMAN;AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,2,2,2,0.54938,0.68023,,,,
O00231,sp|O00231|PSD11_HUMAN,sp|O00231|PSD11_HUMAN;26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,1,0,0,,,,,,
O00232,sp|O00232|PSD12_HUMAN,sp|O00232|PSD12_HUMAN;26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,2,1,2,,0.66439,0.49187,,,
O00257,sp|O00257|CBX4_HUMAN,sp|O00257|CBX4_HUMAN;E3 SUMO-protein ligase CBX4 OS=Homo sapiens OX=9606 GN=CBX4 PE=1 SV=3,1,0,1,,,,,,
O00267,sp|O00267|SPT5H_HUMAN,sp|O00267|SPT5H_HUMAN;Transcription elongation factor SPT5 OS=Homo sapiens OX=9606 GN=SUPT5H PE=1 SV=1,0,0,0,,,,,,
O00303,sp|O00303|EIF3F_HUMAN,sp|O00303|EIF3F_HUMAN;Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,2,1,1,0.31214,0.53966,0.41933,-1.2388509166690098,0.0009322377349648183,
O00338,sp|O00338|ST1C2_HUMAN,sp|O00338|ST1C2_HUMAN;Sulfotransferase 1C2 OS=Homo sapiens OX=9606 GN=SULT1C2 PE=1 SV=1,0,0,1,,,,,,
O00339,sp|O00339|MATN2_HUMAN,sp|O00339|MATN2_HUMAN;Matrilin-2 OS=Homo sapiens OX=9606 GN=MATN2 PE=1 SV=4,1,0,1,,,,,,
O00400,sp|O00400|ACATN_HUMAN,sp|O00400|ACATN_HUMAN;Acetyl-coenzyme A transporter 1 OS=Homo sapiens OX=9606 GN=SLC33A1 PE=1 SV=1,1,1,2,,,,,,
O00410,sp|O00410|IPO5_HUMAN,sp|O00410|IPO5_HUMAN;Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,9,4,3,0.79948,0.75242,0.76344,-0.3737384366970733,8.791215605472582e-05,0.0010203574833892767
O00411,sp|O00411|RPOM_HUMAN,"sp|O00411|RPOM_HUMAN;DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2",6,6,9,0.7682,0.86303,0.63536,-0.4044390529427458,0.020788799298842732,0.029030512630336597
O00425,sp|O00425|IF2B3_HUMAN,sp|O00425|IF2B3_HUMAN;Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,2,1,1,0.39919,,,,,
O00429,sp|O00429|DNM1L_HUMAN,sp|O00429|DNM1L_HUMAN;Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,1,0,0,,,,,,
O00443,sp|O00443|P3C2A_HUMAN,sp|O00443|P3C2A_HUMAN;Phosphatidylinositol 4-phosphate 3-kinase C2 domain-containing subunit alpha OS=Homo sapiens OX=9606 GN=PIK3C2A PE=1 SV=2,1,0,0,,,,,,
O00471,sp|O00471|EXOC5_HUMAN,sp|O00471|EXOC5_HUMAN;Exocyst complex component 5 OS=Homo sapiens OX=9606 GN=EXOC5 PE=1 SV=1,0,0,0,,,,,,
O00483,sp|O00483|NDUA4_HUMAN,sp|O00483|NDUA4_HUMAN;Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1,1,1,0,,,,,,
O00487,sp|O00487|PSDE_HUMAN,sp|O00487|PSDE_HUMAN;26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,1,1,1,,,,,,
O00505,sp|O00505|IMA4_HUMAN,sp|O00505|IMA4_HUMAN;Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,3,2,4,1.8132,0.7929,2.3827,0.733730332427179,0.22714161970158186,0.24971469992037262
O00541,sp|O00541|PESC_HUMAN,sp|O00541|PESC_HUMAN;Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,13,13,12,0.68217,0.64635,0.47029,-0.7379196913045541,0.00362126930131314,0.0076533094487453825
O00566,sp|O00566|MPP10_HUMAN,sp|O00566|MPP10_HUMAN;U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2,21,19,18,1.9401,1.7918,1.6358,0.8393415410466638,0.0008497871508412,0.00324862203163852
O00567,sp|O00567|NOP56_HUMAN,sp|O00567|NOP56_HUMAN;Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,35,38,35,0.50678,0.56626,0.34792,-1.0780965574098962,0.0012767494144449365,0.004090219843561154
O00571,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,sp|O00571|DDX3X_HUMAN;ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN;ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2,18,19,14,0.63562,0.66208,0.73154,-0.5640229967238991,0.0003479310782376278,0.002142045246889048
O15523,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,sp|O00571|DDX3X_HUMAN;ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN;ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2,18,19,14,0.63562,0.66208,0.73154,-0.5640229967238991,0.0003479310782376278,0.002142045246889048
O00629,sp|O00629|IMA3_HUMAN,sp|O00629|IMA3_HUMAN;Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,0,1,1,,,,,,
O00743,sp|O00743|PPP6_HUMAN,sp|O00743|PPP6_HUMAN;Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,1,1,1,,,,,,
O14617,sp|O14617|AP3D1_HUMAN,sp|O14617|AP3D1_HUMAN;AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,14,15,15,0.78099,1.1661,0.78124,-0.13694434735244046,0.5193252019375284,0.5479616139668705
O14646,sp|O14646|CHD1_HUMAN,sp|O14646|CHD1_HUMAN;Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2,6,5,5,0.77107,0.91665,0.657,-0.3555468503600617,0.043809690926540495,0.05588695707385706
O14647,sp|O14647|CHD2_HUMAN,sp|O14647|CHD2_HUMAN;Chromodomain-helicase-DNA-binding protein 2 OS=Homo sapiens OX=9606 GN=CHD2 PE=1 SV=2,2,2,2,1.1935,0.91201,1.1868,0.13413768388602354,0.35267513632075664,0.3783242371440844
O14654,sp|O14654|IRS4_HUMAN,sp|O14654|IRS4_HUMAN;Insulin receptor substrate 4 OS=Homo sapiens OX=9606 GN=IRS4 PE=1 SV=1,7,5,9,0.83534,0.78689,0.65538,-0.3974417682647566,0.010999382407099089,0.017446728275934287
O14727,sp|O14727|APAF_HUMAN,sp|O14727|APAF_HUMAN;Apoptotic protease-activating factor 1 OS=Homo sapiens OX=9606 GN=APAF1 PE=1 SV=2,0,0,0,,,,,,
O14733,sp|O14733|MP2K7_HUMAN,sp|O14733|MP2K7_HUMAN;Dual specificity mitogen-activated protein kinase kinase 7 OS=Homo sapiens OX=9606 GN=MAP2K7 PE=1 SV=2,0,0,0,,,,,,
O14735,sp|O14735|CDIPT_HUMAN,sp|O14735|CDIPT_HUMAN;CDP-diacylglycerol--inositol 3-phosphatidyltransferase OS=Homo sapiens OX=9606 GN=CDIPT PE=1 SV=1,1,2,2,,1.2429,0.62954,,,
O14744,sp|O14744|ANM5_HUMAN,sp|O14744|ANM5_HUMAN;Protein arginine N-methyltransferase 5 OS=Homo sapiens OX=9606 GN=PRMT5 PE=1 SV=4,0,0,0,,,,,,
O14776,sp|O14776|TCRG1_HUMAN,sp|O14776|TCRG1_HUMAN;Transcription elongation regulator 1 OS=Homo sapiens OX=9606 GN=TCERG1 PE=1 SV=2,1,0,1,,,,,,
O14787,sp|O14787|TNPO2_HUMAN,sp|O14787|TNPO2_HUMAN;Transportin-2 OS=Homo sapiens OX=9606 GN=TNPO2 PE=1 SV=3,1,1,1,,,,,,
O14929,sp|O14929|HAT1_HUMAN,sp|O14929|HAT1_HUMAN;Histone acetyltransferase type B catalytic subunit OS=Homo sapiens OX=9606 GN=HAT1 PE=1 SV=2,1,1,1,,,,,,
O14975,sp|O14975|S27A2_HUMAN,sp|O14975|S27A2_HUMAN;Long-chain fatty acid transport protein 2 OS=Homo sapiens OX=9606 GN=SLC27A2 PE=1 SV=2,0,1,0,,,,,,
O14976,sp|O14976|GAK_HUMAN,sp|O14976|GAK_HUMAN;Cyclin-G-associated kinase OS=Homo sapiens OX=9606 GN=GAK PE=1 SV=2,1,1,1,,,,,,
O14979,sp|O14979|HNRDL_HUMAN,sp|O14979|HNRDL_HUMAN;Heterogeneous nuclear ribonucleoprotein D-like OS=Homo sapiens OX=9606 GN=HNRNPDL PE=1 SV=3,1,1,1,,,,,,
O14980,sp|O14980|XPO1_HUMAN,sp|O14980|XPO1_HUMAN;Exportin-1 OS=Homo sapiens OX=9606 GN=XPO1 PE=1 SV=1,19,13,13,0.74161,0.68444,0.60277,-0.5643216280498707,0.0013017919740555865,0.004103066629151068
O15042,sp|O15042|SR140_HUMAN,sp|O15042|SR140_HUMAN;U2 snRNP-associated SURP motif-containing protein OS=Homo sapiens OX=9606 GN=U2SURP PE=1 SV=2,22,26,26,2.5432,1.8379,1.8336,1.050722249533514,0.010465191001267833,0.016955046290383587
O15091,sp|O15091|MRPP3_HUMAN,sp|O15091|MRPP3_HUMAN;Mitochondrial ribonuclease P catalytic subunit OS=Homo sapiens OX=9606 GN=PRORP PE=1 SV=2,1,1,2,,,0.86354,,,
O15111,sp|O15111|IKKA_HUMAN,sp|O15111|IKKA_HUMAN;Inhibitor of nuclear factor kappa-B kinase subunit alpha OS=Homo sapiens OX=9606 GN=CHUK PE=1 SV=2,0,0,0,,,,,,
O15164,sp|O15164|TIF1A_HUMAN,sp|O15164|TIF1A_HUMAN;Transcription intermediary factor 1-alpha OS=Homo sapiens OX=9606 GN=TRIM24 PE=1 SV=3,0,0,0,,,,,,
O15213,sp|O15213|WDR46_HUMAN,sp|O15213|WDR46_HUMAN;WD repeat-containing protein 46 OS=Homo sapiens OX=9606 GN=WDR46 PE=1 SV=3,13,12,9,1.938,1.4777,1.4821,0.7071713624213855,0.014345953889546412,0.021383647929046026
O15226,sp|O15226|NKRF_HUMAN,sp|O15226|NKRF_HUMAN;NF-kappa-B-repressing factor OS=Homo sapiens OX=9606 GN=NKRF PE=1 SV=2,21,25,20,0.69322,0.67598,0.55983,-0.6370869205717364,0.0010398906005747981,0.0035739929378978503
O15228,sp|O15228|GNPAT_HUMAN,sp|O15228|GNPAT_HUMAN;Dihydroxyacetone phosphate acyltransferase OS=Homo sapiens OX=9606 GN=GNPAT PE=1 SV=1,1,1,1,,,,,,
O15260,sp|O15260|SURF4_HUMAN,sp|O15260|SURF4_HUMAN;Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3,2,2,3,0.9026,0.85574,0.51051,-0.403001269150095,0.11998306361032367,0.1381268439611531
O15269,sp|O15269|SPTC1_HUMAN,sp|O15269|SPTC1_HUMAN;Serine palmitoyltransferase 1 OS=Homo sapiens OX=9606 GN=SPTLC1 PE=1 SV=1,1,2,1,,0.9997,,,,
O15270,sp|O15270|SPTC2_HUMAN,sp|O15270|SPTC2_HUMAN;Serine palmitoyltransferase 2 OS=Homo sapiens OX=9606 GN=SPTLC2 PE=1 SV=1,0,0,0,,,,,,
O15294,sp|O15294|OGT1_HUMAN,sp|O15294|OGT1_HUMAN;UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3,0,1,0,,,,,,
O15347,sp|O15347|HMGB3_HUMAN,sp|O15347|HMGB3_HUMAN;High mobility group protein B3 OS=Homo sapiens OX=9606 GN=HMGB3 PE=1 SV=4,2,0,0,2.4624,,,,,
O15355,sp|O15355|PPM1G_HUMAN,sp|O15355|PPM1G_HUMAN;Protein phosphatase 1G OS=Homo sapiens OX=9606 GN=PPM1G PE=1 SV=1,2,2,5,1.1465,1.1987,2.2773,0.6237108189083151,0.21614560569485758,0.23948527203749478
O15371,sp|O15371|EIF3D_HUMAN,sp|O15371|EIF3D_HUMAN;Eukaryotic translation initiation factor 3 subunit D OS=Homo sapiens OX=9606 GN=EIF3D PE=1 SV=1,3,4,6,0.7746,0.78241,0.70282,-0.4087482534708369,0.0006220988188161464,0.002805388303960711
O15372,sp|O15372|EIF3H_HUMAN,sp|O15372|EIF3H_HUMAN;Eukaryotic translation initiation factor 3 subunit H OS=Homo sapiens OX=9606 GN=EIF3H PE=1 SV=1,1,0,2,,,,,,
