Entry,Majority protein IDs,Fasta headers,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR
P09471,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P08754,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
A8MTJ3,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P04899,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P38405,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
P63092,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
Q5JWF2,sp|P11488|GNAT1_HUMAN;sp|P63096|GNAI1_HUMAN;sp|P19087|GNAT2_HUMAN;sp|P09471|GNAO_HUMAN;sp|P08754|GNAI3_HUMAN;sp|A8MTJ3|GNAT3_HUMAN;sp|P04899|GNAI2_HUMAN;sp|P38405|GNAL_HUMAN;sp|P63092|GNAS2_HUMAN;sp|Q5JWF2|GNAS1_HUMAN,sp|P11488|GNAT1_HUMAN;Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN;Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT,1,0,0,,,,,,
Q99613,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,sp|Q99613|EIF3C_HUMAN;Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN;Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,13,16,13,1.0815,1.1461,0.86847,0.045475589466338805,0.7220302515745628,0.8115273314009767
B5ME19,sp|Q99613|EIF3C_HUMAN;sp|B5ME19|EIFCL_HUMAN,sp|Q99613|EIF3C_HUMAN;Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN;Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1,13,16,13,1.0815,1.1461,0.86847,0.045475589466338805,0.7220302515745628,0.8115273314009767
O00116,sp|O00116|ADAS_HUMAN,"sp|O00116|ADAS_HUMAN;Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1",1,1,1,,,,,,
O00139,sp|O00139|KIF2A_HUMAN,sp|O00139|KIF2A_HUMAN;Kinesin-like protein KIF2A OS=Homo sapiens OX=9606 GN=KIF2A PE=1 SV=3,1,1,0,,,,,,
O00148,sp|O00148|DX39A_HUMAN,sp|O00148|DX39A_HUMAN;ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2,3,2,2,0.87254,0.85285,1.2956,0.010058907782206302,0.9636811451976905,0.9742969717665757
O00151,sp|O00151|PDLI1_HUMAN,sp|O00151|PDLI1_HUMAN;PDZ and LIM domain protein 1 OS=Homo sapiens OX=9606 GN=PDLIM1 PE=1 SV=4,0,1,2,,,,,,
O00159,sp|O00159|MYO1C_HUMAN,sp|O00159|MYO1C_HUMAN;Unconventional myosin-Ic OS=Homo sapiens OX=9606 GN=MYO1C PE=1 SV=4,2,2,3,0.87695,0.86829,1.0413,-0.10648763767390032,0.27479887280398196,0.38936428473573526
O00170,sp|O00170|AIP_HUMAN,sp|O00170|AIP_HUMAN;AH receptor-interacting protein OS=Homo sapiens OX=9606 GN=AIP PE=1 SV=3,2,4,5,0.37719,1.6139,0.88159,-0.06256520681535448,0.9115997589147851,0.9342201003270626
O00178,sp|O00178|GTPB1_HUMAN,sp|O00178|GTPB1_HUMAN;GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP1 PE=1 SV=3,1,0,1,,,,,,
O00186,sp|O00186|STXB3_HUMAN,sp|O00186|STXB3_HUMAN;Syntaxin-binding protein 3 OS=Homo sapiens OX=9606 GN=STXBP3 PE=1 SV=2,3,4,2,1.6757,1.2092,,,,
O00193,sp|O00193|SMAP_HUMAN,sp|O00193|SMAP_HUMAN;Small acidic protein OS=Homo sapiens OX=9606 GN=SMAP PE=1 SV=1,6,5,7,2.3612,3.6725,1.617,1.3506292523556995,0.06132370811420836,0.1320947280741585
O00203,sp|O00203|AP3B1_HUMAN,sp|O00203|AP3B1_HUMAN;AP-3 complex subunit beta-1 OS=Homo sapiens OX=9606 GN=AP3B1 PE=1 SV=3,4,5,3,0.63668,1.0781,0.70846,-0.30802520296328745,0.2324962721663589,0.3491671287443863
O00231,sp|O00231|PSD11_HUMAN,sp|O00231|PSD11_HUMAN;26S proteasome non-ATPase regulatory subunit 11 OS=Homo sapiens OX=9606 GN=PSMD11 PE=1 SV=3,1,1,0,,,,,,
O00232,sp|O00232|PSD12_HUMAN,sp|O00232|PSD12_HUMAN;26S proteasome non-ATPase regulatory subunit 12 OS=Homo sapiens OX=9606 GN=PSMD12 PE=1 SV=3,4,5,5,1.1177,1.3362,0.81202,0.12252695122657334,0.5911155284141432,0.7045619429582717
O00273,sp|O00273|DFFA_HUMAN,sp|O00273|DFFA_HUMAN;DNA fragmentation factor subunit alpha OS=Homo sapiens OX=9606 GN=DFFA PE=1 SV=1,1,0,1,,,,,,
O00303,sp|O00303|EIF3F_HUMAN,sp|O00303|EIF3F_HUMAN;Eukaryotic translation initiation factor 3 subunit F OS=Homo sapiens OX=9606 GN=EIF3F PE=1 SV=1,1,1,1,0.8604,0.86035,,,,
O00311,sp|O00311|CDC7_HUMAN,sp|O00311|CDC7_HUMAN;Cell division cycle 7-related protein kinase OS=Homo sapiens OX=9606 GN=CDC7 PE=1 SV=1,2,1,0,0.56413,,,,,
O00338,sp|O00338|ST1C2_HUMAN,sp|O00338|ST1C2_HUMAN;Sulfotransferase 1C2 OS=Homo sapiens OX=9606 GN=SULT1C2 PE=1 SV=1,1,0,0,,,,,,
O00400,sp|O00400|ACATN_HUMAN,sp|O00400|ACATN_HUMAN;Acetyl-coenzyme A transporter 1 OS=Homo sapiens OX=9606 GN=SLC33A1 PE=1 SV=1,0,1,1,,,,,,
O00410,sp|O00410|IPO5_HUMAN,sp|O00410|IPO5_HUMAN;Importin-5 OS=Homo sapiens OX=9606 GN=IPO5 PE=1 SV=4,12,9,12,1.3933,1.2278,0.71657,0.15387881979765353,0.6099464253704379,0.7228346447001172
O00411,sp|O00411|RPOM_HUMAN,"sp|O00411|RPOM_HUMAN;DNA-directed RNA polymerase, mitochondrial OS=Homo sapiens OX=9606 GN=POLRMT PE=1 SV=2",3,4,4,1.2224,0.93167,0.90279,0.027087979560385073,0.8617167952149447,0.8975763844231328
O00425,sp|O00425|IF2B3_HUMAN,sp|O00425|IF2B3_HUMAN;Insulin-like growth factor 2 mRNA-binding protein 3 OS=Homo sapiens OX=9606 GN=IGF2BP3 PE=1 SV=2,2,2,3,0.89454,,0.56667,,,
O00429,sp|O00429|DNM1L_HUMAN,sp|O00429|DNM1L_HUMAN;Dynamin-1-like protein OS=Homo sapiens OX=9606 GN=DNM1L PE=1 SV=2,4,3,3,0.7712,1.2728,0.94421,-0.005680961927108046,0.9799659759019252,0.9861615657770985
O00483,sp|O00483|NDUA4_HUMAN,sp|O00483|NDUA4_HUMAN;Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1,1,2,0,,1.0107,,,,
O00487,sp|O00487|PSDE_HUMAN,sp|O00487|PSDE_HUMAN;26S proteasome non-ATPase regulatory subunit 14 OS=Homo sapiens OX=9606 GN=PSMD14 PE=1 SV=1,4,5,3,1.0016,1.3797,0.87991,0.12044484321830147,0.5938493450979724,0.7068005173644455
O00505,sp|O00505|IMA4_HUMAN,sp|O00505|IMA4_HUMAN;Importin subunit alpha-4 OS=Homo sapiens OX=9606 GN=KPNA3 PE=1 SV=2,5,6,5,2.0707,1.6715,1.116,0.6954593826385583,0.08886782876760116,0.1719082589274908
O00541,sp|O00541|PESC_HUMAN,sp|O00541|PESC_HUMAN;Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,16,17,13,0.56551,0.6028,0.93891,-0.5096215570737493,0.06632250362237316,0.14010840918690595
O00566,sp|O00566|MPP10_HUMAN,sp|O00566|MPP10_HUMAN;U3 small nucleolar ribonucleoprotein protein MPP10 OS=Homo sapiens OX=9606 GN=MPHOSPH10 PE=1 SV=2,22,23,24,1.7418,1.5462,1.3609,0.6319268924285303,0.007500825291560709,0.03540389537616655
O00567,sp|O00567|NOP56_HUMAN,sp|O00567|NOP56_HUMAN;Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,40,40,42,1.8439,1.358,1.5978,0.6779817338547011,0.012881200903819412,0.048806752048416675
O00571,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,sp|O00571|DDX3X_HUMAN;ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN;ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2,20,23,25,0.77301,1.0419,1.0771,-0.05288995986868627,0.7268165604516568,0.8129841905118054
O15523,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,sp|O00571|DDX3X_HUMAN;ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3;sp|O15523|DDX3Y_HUMAN;ATP-dependent RNA helicase DDX3Y OS=Homo sapiens OX=9606 GN=DDX3Y PE=1 SV=2,20,23,25,0.77301,1.0419,1.0771,-0.05288995986868627,0.7268165604516568,0.8129841905118054
O00629,sp|O00629|IMA3_HUMAN,sp|O00629|IMA3_HUMAN;Importin subunit alpha-3 OS=Homo sapiens OX=9606 GN=KPNA4 PE=1 SV=1,1,1,1,,,,,,
O00743,sp|O00743|PPP6_HUMAN,sp|O00743|PPP6_HUMAN;Serine/threonine-protein phosphatase 6 catalytic subunit OS=Homo sapiens OX=9606 GN=PPP6C PE=1 SV=1,2,2,1,0.75741,0.88721,,,,
O00767,sp|O00767|SCD_HUMAN,sp|O00767|SCD_HUMAN;Stearoyl-CoA desaturase OS=Homo sapiens OX=9606 GN=SCD PE=1 SV=2,1,0,0,,,,,,
O14519,sp|O14519|CDKA1_HUMAN,sp|O14519|CDKA1_HUMAN;Cyclin-dependent kinase 2-associated protein 1 OS=Homo sapiens OX=9606 GN=CDK2AP1 PE=1 SV=1,1,1,0,,,,,,
O14617,sp|O14617|AP3D1_HUMAN,sp|O14617|AP3D1_HUMAN;AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1,27,25,21,1.5747,1.2142,0.92301,0.30719923018404705,0.27648477182046355,0.3910555163077104
O14646,sp|O14646|CHD1_HUMAN,sp|O14646|CHD1_HUMAN;Chromodomain-helicase-DNA-binding protein 1 OS=Homo sapiens OX=9606 GN=CHD1 PE=1 SV=2,8,5,6,0.96981,0.77158,0.96468,-0.14876334161857782,0.20755238858498898,0.32407991109867845
