Entry,Majority protein IDs,Unique peptides R1,Unique peptides R2,Unique peptides R3,Ratio H/L normalized R1,Ratio H/L normalized R2,Ratio H/L normalized R3,Log2FC,Pvalue,FDR,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
O00541,sp|O00541|PESC_HUMAN,10,14,11,0.69069,0.59567,0.76731,-0.5467581241343535,0.003143322281024,0.01696882922439,reviewed,PESC_HUMAN,Pescadillo homolog,PES1,Homo sapiens (Human),588
O00566,sp|O00566|MPP10_HUMAN,13,17,19,1.6424,1.6052,1.5131,0.6662112182489406,0.0001072262601448,0.0025427941691485,reviewed,MPP10_HUMAN,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),MPHOSPH10 MPP10,Homo sapiens (Human),681
O00567,sp|O00567|NOP56_HUMAN,39,40,38,0.82241,0.99984,1.1199,-0.0280916991523571,0.8343408394431867,0.8807668003025055,reviewed,NOP56_HUMAN,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,Homo sapiens (Human),594
O00571,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,19,16,18,0.85767,0.87746,0.87803,-0.199167039232121,4.2796775311891065e-05,0.0014956346740576,reviewed,DDX3X_HUMAN,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,Homo sapiens (Human),662
O15523,sp|O00571|DDX3X_HUMAN;sp|O15523|DDX3Y_HUMAN,19,16,18,0.85767,0.87746,0.87803,-0.199167039232121,4.2796775311891065e-05,0.0014956346740576,reviewed,DDX3Y_HUMAN,"ATP-dependent RNA helicase DDX3Y (EC 3.6.4.13) (DEAD box protein 3, Y-chromosomal)",DDX3Y DBY,Homo sapiens (Human),660
O14617,sp|O14617|AP3D1_HUMAN,30,31,25,1.2193,1.3669,1.0446,0.2753249617895848,0.0869395931735289,0.1556007813132702,reviewed,AP3D1_HUMAN,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),AP3D1 PRO0039,Homo sapiens (Human),1153
O14646,sp|O14646|CHD1_HUMAN,6,14,6,0.95386,1.0937,0.89694,-0.026939827195916,0.7674710950433168,0.8206132159561391,reviewed,CHD1_HUMAN,Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1),CHD1,Homo sapiens (Human),1710
O14980,sp|O14980|XPO1_HUMAN,27,21,22,0.886,0.99876,0.86554,-0.1253735057543146,0.1148645180274619,0.1878572413059968,reviewed,XPO1_HUMAN,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),XPO1 CRM1,Homo sapiens (Human),1071
O15042,sp|O15042|SR140_HUMAN,12,17,15,1.4995,1.3207,1.1044,0.387583119544611,0.0541984326772438,0.1097187783466156,reviewed,SR140_HUMAN,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),U2SURP KIAA0332 SR140,Homo sapiens (Human),1029
O15213,sp|O15213|WDR46_HUMAN,9,11,14,1.2859,1.376,1.6945,0.5381739261349034,0.0218116879567187,0.0586681910119257,reviewed,WDR46_HUMAN,WD repeat-containing protein 46 (WD repeat-containing protein BING4),WDR46 BING4 C6orf11 FP221,Homo sapiens (Human),610
O15226,sp|O15226|NKRF_HUMAN,27,23,22,0.57187,0.52687,0.70361,-0.7350833040905488,0.0016670087238612,0.0106432095446526,reviewed,NKRF_HUMAN,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),NKRF ITBA4 NRF,Homo sapiens (Human),690
O15260,sp|O15260|SURF4_HUMAN,5,4,2,0.74079,0.89635,0.9479,-0.2147758962524516,0.0904097687527755,0.1609439315062814,reviewed,SURF4_HUMAN,Surfeit locus protein 4,SURF4 SURF-4,Homo sapiens (Human),269
O15355,sp|O15355|PPM1G_HUMAN,3,3,2,1.2719,1.3234,0.8519,0.2004625028397771,0.3746450389832992,0.479314654884221,reviewed,PPM1G_HUMAN,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,Homo sapiens (Human),546
O15371,sp|O15371|EIF3D_HUMAN,6,7,9,1.1736,1.4185,1.141,0.3154116544699928,0.0492914687065789,0.102462690443858,reviewed,EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,Homo sapiens (Human),548
O15381,sp|O15381|NVL_HUMAN,31,31,29,0.9555,0.8126,0.77659,-0.2374725861503217,0.0499211684408053,0.1027431012734007,reviewed,NVL_HUMAN,Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein),NVL NVL2,Homo sapiens (Human),856
O15397,sp|O15397|IPO8_HUMAN,5,4,2,0.79268,0.76445,0.72428,-0.3950367591071034,0.0002702302584335,0.0041728579441827,reviewed,IPO8_HUMAN,Importin-8 (Imp8) (Ran-binding protein 8) (RanBP8),IPO8 RANBP8,Homo sapiens (Human),1037
O43143,sp|O43143|DHX15_HUMAN,27,27,29,1.6634,1.4647,1.3944,0.5921580021253602,0.0032434349894514,0.0170865075304137,reviewed,DHX15_HUMAN,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43),DHX15 DBP1 DDX15,Homo sapiens (Human),795
O43148,sp|O43148|MCES_HUMAN,4,2,3,2.1852,1.8644,1.7301,0.9460321096960246,0.0023600709488362,0.013991849196672,reviewed,MCES_HUMAN,mRNA cap guanine-N7 methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p),RNMT KIAA0398,Homo sapiens (Human),476
O43159,sp|O43159|RRP8_HUMAN,6,7,6,1.0538,1.1181,1.2567,0.1926571003509767,0.0754619969433187,0.1376559504680319,reviewed,RRP8_HUMAN,Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin),RRP8 KIAA0409 NML hucep-1,Homo sapiens (Human),456
O43172,sp|O43172|PRP4_HUMAN,10,8,8,1.1439,1.1338,1.1578,0.1955575823180617,3.117263415047976e-05,0.0013284663937959,reviewed,PRP4_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4),PRPF4 PRP4,Homo sapiens (Human),522
O43242,sp|O43242|PSMD3_HUMAN,8,5,11,0.64948,0.96464,0.98025,-0.2095782543238434,0.2778464028909526,0.3749796982105539,reviewed,PSMD3_HUMAN,26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58),PSMD3,Homo sapiens (Human),534
O43290,sp|O43290|SNUT1_HUMAN,22,23,24,1.7583,1.4053,1.3753,0.5973802027797362,0.014015200384013,0.0417313589909625,reviewed,SNUT1_HUMAN,U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1),SART1,Homo sapiens (Human),800
O43390,sp|O43390|HNRPR_HUMAN,5,5,5,1.4555,1.34,1.409,0.486971744370407,0.0002794728055282,0.0042174987016078,reviewed,HNRPR_HUMAN,Heterogeneous nuclear ribonucleoprotein R (hnRNP R),HNRNPR HNRPR,Homo sapiens (Human),633
O43395,sp|O43395|PRPF3_HUMAN,29,29,30,0.86272,0.73127,0.46935,-0.539980930636988,0.0540712242799724,0.1097187783466156,reviewed,PRPF3_HUMAN,U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein),PRPF3 HPRP3 PRP3,Homo sapiens (Human),683
O43592,sp|O43592|XPOT_HUMAN,6,10,6,0.92636,0.92259,0.95727,-0.0963343839702932,0.0041810353165899,0.0190151195220254,reviewed,XPOT_HUMAN,Exportin-T (Exportin(tRNA)) (tRNA exportin),XPOT,Homo sapiens (Human),962
O43747,sp|O43747|AP1G1_HUMAN,3,2,4,0.79213,0.7542,0.99313,-0.2404407510255993,0.1071409648285903,0.1785336097193242,reviewed,AP1G1_HUMAN,AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1),AP1G1 ADTG CLAPG1,Homo sapiens (Human),822
O43795,sp|O43795|MYO1B_HUMAN,4,4,2,0.65046,0.84909,0.92915,-0.3047782055773664,0.0830539204460086,0.149452041127777,reviewed,MYO1B_HUMAN,Unconventional myosin-Ib (MYH-1c) (Myosin I alpha) (MMI-alpha) (MMIa),MYO1B,Homo sapiens (Human),1136
O43809,sp|O43809|CPSF5_HUMAN,4,5,3,1.3112,0.75251,0.71933,-0.1083008563754149,0.7255492393671328,0.7893326659665071,reviewed,CPSF5_HUMAN,Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit),NUDT21 CFIM25 CPSF25 CPSF5,Homo sapiens (Human),227
O43913,sp|O43913|ORC5_HUMAN,4,3,2,0.8194,0.85403,0.78017,-0.2900624290035861,0.0010334034938696,0.0083680478040174,reviewed,ORC5_HUMAN,Origin recognition complex subunit 5,ORC5 ORC5L,Homo sapiens (Human),435
O60231,sp|O60231|DHX16_HUMAN,9,13,9,1.7372,1.4697,1.1998,0.5547361832224581,0.039065701397768,0.0856093258353729,reviewed,DHX16_HUMAN,Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16 (EC 3.6.4.13) (ATP-dependent RNA helicase #3) (DEAH-box protein 16),DHX16 DBP2 DDX16 KIAA0577 PRP2,Homo sapiens (Human),1041
O60264,sp|O60264|SMCA5_HUMAN,16,17,18,0.71868,0.76257,0.96515,-0.2943021889098011,0.0718986483396033,0.1336591412139791,reviewed,SMCA5_HUMAN,SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5 (SWI/SNF-related matrix-associated actin-dependent regulator of chromatin A5) (EC 3.6.4.-) (Sucrose nonfermenting protein 2 homolog) (hSNF2H),SMARCA5 SNF2H WCRF135,Homo sapiens (Human),1052
O60287,sp|O60287|NPA1P_HUMAN,14,14,9,0.86505,0.85581,1.0997,-0.0889808739071657,0.4952138691311415,0.5809576132563214,reviewed,NPA1P_HUMAN,Nucleolar pre-ribosomal-associated protein 1 (Nucleolar protein 254 kDa) (URB1 ribosome biogenesis 1 homolog),URB1 C21orf108 KIAA0539 NOP254 NPA1,Homo sapiens (Human),2271
O60508,sp|O60508|PRP17_HUMAN,3,4,2,1.2457,1.033,1.3825,0.2873540850292068,0.0960738789717016,0.1661277490552342,reviewed,PRP17_HUMAN,Pre-mRNA-processing factor 17 (Cell division cycle 40 homolog) (EH-binding protein 3) (Ehb3) (PRP17 homolog) (hPRP17),CDC40 EHB3 PRP17 PRPF17,Homo sapiens (Human),579
O60684,sp|O60684|IMA7_HUMAN,2,2,2,1.0279,1.0023,0.7096,-0.1308919175861977,0.443464852055798,0.5334432278352352,reviewed,IMA7_HUMAN,Importin subunit alpha-7 (Karyopherin subunit alpha-6),KPNA6 IPOA7,Homo sapiens (Human),536
Q99880,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1L_HUMAN,Histone H2B type 1-L (Histone H2B.c) (H2B/c),H2BC13 H2BFC HIST1H2BL,Homo sapiens (Human),126
Q99879,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1M_HUMAN,Histone H2B type 1-M (Histone H2B.e) (H2B/e),H2BC14 H2BFE HIST1H2BM,Homo sapiens (Human),126
Q99877,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1N_HUMAN,Histone H2B type 1-N (Histone H2B.d) (H2B/d),H2BC15 H2BFD HIST1H2BN,Homo sapiens (Human),126
Q93079,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1H_HUMAN,Histone H2B type 1-H (H2B-clustered histone 9) (Histone H2B.j) (H2B/j),H2BC9 H2BFJ HIST1H2BH,Homo sapiens (Human),126
Q5QNW6,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B2F_HUMAN,Histone H2B type 2-F (H2B-clustered histone 18),H2BC18 HIST2H2BF,Homo sapiens (Human),126
P62807,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1C_HUMAN,Histone H2B type 1-C/E/F/G/I (Histone H2B.1 A) (Histone H2B.a) (H2B/a) (Histone H2B.g) (H2B/g) (Histone H2B.h) (H2B/h) (Histone H2B.k) (H2B/k) (Histone H2B.l) (H2B/l),H2BC4 H2BFL HIST1H2BC; H2BC6 H2BFH HIST1H2BE; H2BC7 H2BFG HIST1H2BF; H2BC8 H2BFA HIST1H2BG; H2BC10 H2BFK HIST1H2BI,Homo sapiens (Human),126
P58876,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1D_HUMAN,Histone H2B type 1-D (H2B-clustered histone 5) (HIRA-interacting protein 2) (Histone H2B.1 B) (Histone H2B.b) (H2B/b),H2BC5 H2BFB HIRIP2 HIST1H2BD,Homo sapiens (Human),126
P57053,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2BFS_HUMAN,Histone H2B type F-S (H2B-clustered histone 12 like) (H2B.S histone 1) (Histone H2B.s) (H2B/s),H2BC12L H2BFS H2BS1,Homo sapiens (Human),126
O60814,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1K_HUMAN,Histone H2B type 1-K (H2B K) (HIRA-interacting protein 1),H2BC12 H2BFT HIRIP1 HIST1H2BK,Homo sapiens (Human),126
Q16778,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B2E_HUMAN,Histone H2B type 2-E (H2B-clustered histone 21) (Histone H2B-GL105) (Histone H2B.q) (H2B/q),H2BC21 H2BFQ HIST2H2BE,Homo sapiens (Human),126
P33778,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1B_HUMAN,Histone H2B type 1-B (H2B-clustered histone 3) (Histone H2B.1) (Histone H2B.f) (H2B/f),H2BC3 H2BFF HIST1H2BB,Homo sapiens (Human),126
P23527,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1O_HUMAN,Histone H2B type 1-O (H2B-clustered histone 17) (Histone H2B.2) (Histone H2B.n) (H2B/n),H2BC17 H2BFH H2BFN HIST1H2BO,Homo sapiens (Human),126
P06899,sp|Q99880|H2B1L_HUMAN;sp|Q99879|H2B1M_HUMAN;sp|Q99877|H2B1N_HUMAN;sp|Q93079|H2B1H_HUMAN;sp|Q5QNW6|H2B2F_HUMAN;sp|P62807|H2B1C_HUMAN;sp|P58876|H2B1D_HUMAN;sp|P57053|H2BFS_HUMAN;sp|O60814|H2B1K_HUMAN;sp|Q16778|H2B2E_HUMAN;sp|P33778|H2B1B_HUMAN;sp|P23527|H2B1O_HUMAN;sp|P06899|H2B1J_HUMAN;sp|Q8N257|H2B3B_HUMAN;sp|Q96A08|H2B1A_HUMAN,5,7,7,1.0597,0.92895,1.5685,0.2457593113770435,0.3950004445603839,0.4875098423570537,reviewed,H2B1J_HUMAN,Histone H2B type 1-J (Histone H2B.1) (Histone H2B.r) (H2B/r),H2BC11 H2BFR HIST1H2BJ,Homo sapiens (Human),126
