Entry,sgBCL2_R1,sgBCL2_R2,sgBCL2_R3,sgCtrl_R1,sgCtrl_R2,sgCtrl_R3,sgBCL2_PDS_R1,sgBCL2_PDS_R2,sgBCL2_PDS_R3,sgCtrl_PDS_R1,sgCtrl_PDS_R2,sgCtrl_PDS_R3,sgBCL2_Mean,sgCtrl_Mean,sgBCL2_PDS_Mean,sgCtrl_PDS_Mean,Log2FC,Pvalue,FDR,Log2FC_PDS,Pvalue_PDS,FDR_PDS,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length
O00232,22.7978172302246,21.4178409576416,19.0264759063721,24.4361896514893,21.7593879699707,20.6775455474854,20.7677593231201,20.8609447479248,22.5117149353027,21.2707061767578,21.1575527191162,17.1218433380127,21.080711364746097,22.291041056315134,21.380139668782533,19.85003407796223,-1.2103296915690365,0.48349683858764386,0.9742140838941091,1.5301055908203018,0.3588520848136971,0.7036062715682534,reviewed,PSD12_HUMAN,26S proteasome non-ATPase regulatory subunit 12 (26S proteasome regulatory subunit RPN5) (26S proteasome regulatory subunit p55),PSMD12,Homo sapiens (Human),456
O00303,22.9097633361816,24.1174354553223,21.7181644439697,23.8670291900635,22.8802051544189,23.0756149291992,22.0886116027832,20.4267272949219,24.7845668792725,22.5914936065674,22.3045215606689,19.2095432281494,22.9151210784912,23.2742830912272,22.433301925659197,21.368519465128568,-0.35916201273600024,0.6592887564002117,0.9742140838941091,1.0647824605306297,0.5581051424450951,0.7465640993402358,reviewed,EIF3F_HUMAN,Eukaryotic translation initiation factor 3 subunit F (eIF3f) (Deubiquitinating enzyme eIF3f) (EC 3.4.19.12) (Eukaryotic translation initiation factor 3 subunit 5) (eIF-3-epsilon) (eIF3 p47),EIF3F EIF3S5,Homo sapiens (Human),357
O00401,20.7394771575928,21.1016273498535,20.3624591827393,24.1487998962402,22.1383380889893,22.9005813598633,20.8671207427979,21.7601451873779,21.0318603515625,20.7028007507324,20.8963165283203,18.7968978881836,20.73452123006187,23.062573115030933,21.219708760579433,20.132005055745434,-2.3280518849690637,0.0202438482501129,0.9742140838941091,1.0877037048339986,0.2073705025373779,0.7036062715682534,reviewed,WASL_HUMAN,Actin nucleation-promoting factor WASL (Neural Wiskott-Aldrich syndrome protein) (N-WASP),WASL,Homo sapiens (Human),505
O00410,21.755485534668,21.3785877227783,18.1210079193115,22.9704246520996,20.5505619049072,20.261890411377,21.26584815979,20.0214977264404,22.2660331726074,20.14870262146,22.0759792327881,19.7114105224609,20.4183603922526,21.26095898946127,21.184459686279265,20.645364125569667,-0.8425985972086707,0.5894594643136102,0.9742140838941091,0.5390955607095975,0.6094842972159806,0.7757796697022905,reviewed,IPO5_HUMAN,Importin-5 (Imp5) (Importin subunit beta-3) (Karyopherin beta-3) (Ran-binding protein 5) (RanBP5),IPO5 KPNB3 RANBP5,Homo sapiens (Human),1097
O00411,23.2678527832031,23.7389240264893,21.8913383483887,24.2389965057373,22.9115943908691,22.1549911499023,23.9494895935059,21.8613586425781,23.5044574737549,23.203592300415,23.2961406707764,18.1558170318604,22.966038386027034,23.10186068216957,23.105101903279632,21.551850001017268,-0.1358222961425355,0.877001604790804,0.9744879240508083,1.5532519022623639,0.4399017954775277,0.7036062715682534,reviewed,RPOM_HUMAN,"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)",POLRMT,Homo sapiens (Human),1230
O00422,22.6208686828613,23.017333984375,20.7955074310303,24.4105396270752,23.0442695617676,20.2981586456299,23.0869941711426,19.2919235229492,23.4599094390869,20.5536327362061,23.5044574737549,20.9387645721436,22.144570032755535,22.5843226114909,21.946275711059567,21.665618260701535,-0.4397525787353658,0.7674396863124727,0.9742140838941091,0.28065745035803147,0.8710243786717704,0.9290926705832218,reviewed,SAP18_HUMAN,Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18),SAP18 GIG38,Homo sapiens (Human),153
O00425,23.2534961700439,23.2316913604736,22.1518993377686,26.1134662628174,23.0772457122803,22.0156326293945,23.6649227142334,21.7430400848389,24.3031272888184,23.1110801696777,22.8053817749023,22.559175491333,22.879028956095368,23.7354482014974,23.2370300292969,22.825212478637667,-0.8564192454020336,0.5402553009251405,0.9742140838941091,0.411817550659233,0.6279091788338614,0.7861627117106883,reviewed,IF2B3_HUMAN,Insulin-like growth factor 2 mRNA-binding protein 3 (IGF2 mRNA-binding protein 3) (IMP-3) (IGF-II mRNA-binding protein 3) (KH domain-containing protein overexpressed in cancer) (hKOC) (VICKZ family member 3),IGF2BP3 IMP3 KOC1 VICKZ3,Homo sapiens (Human),579
O00487,24.2243499755859,20.9136581420898,23.2534961700439,24.9450302124023,23.246265411377,22.9689502716064,22.931568145752,23.0156326293945,20.8437328338623,19.5710258483887,23.60964012146,18.6566753387451,22.79716809590653,23.720081965128568,22.26364453633627,20.612447102864603,-0.922913869222036,0.4710126014570515,0.9742140838941091,1.6511974334716655,0.3811488012325078,0.7036062715682534,reviewed,PSDE_HUMAN,26S proteasome non-ATPase regulatory subunit 14 (EC 3.4.19.-) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1),PSMD14 POH1,Homo sapiens (Human),310
O00505,26.4330081939697,23.6208686828613,24.2961406707764,26.9649925231934,25.7669868469238,22.9985179901123,26.0894203186035,23.0837516784668,25.5344524383545,25.4298191070557,23.8093128204346,19.8284225463867,24.783339182535798,25.243499120076503,24.902541478474934,23.022518157959,-0.4601599375407055,0.7666085685749242,0.9742140838941091,1.8800233205159351,0.3791547227319095,0.7036062715682534,reviewed,IMA4_HUMAN,Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma),KPNA3 QIP2,Homo sapiens (Human),521
O00541,27.6594886779785,27.4153842926025,25.4425296783447,28.0083847045898,26.8384590148926,26.3893604278564,27.4472675323486,26.4056797027588,28.8973522186279,27.632007598877,27.2076930999756,25.7466316223145,26.839134216308565,27.0787347157796,27.5834331512451,26.862110773722364,-0.23960049947103457,0.7924272392217059,0.9742140838941091,0.7213223775227355,0.47724830265288354,0.7138343868889074,reviewed,PESC_HUMAN,Pescadillo homolog,PES1,Homo sapiens (Human),588
O00566,31.4234218597412,30.8384590148926,29.7162036895752,32.1753387451172,30.9745960235596,30.3724384307861,31.6755619049072,30.7047080993652,31.9081325531006,30.8384590148926,30.9882068634033,29.9677429199219,30.659361521403,31.17412439982097,31.429467519124334,30.5981362660726,-0.5147628784179688,0.5191746175908696,0.9742140838941091,0.8313312530517329,0.1629179836622542,0.7036062715682534,reviewed,MPP10_HUMAN,U3 small nucleolar ribonucleoprotein protein MPP10 (M phase phosphoprotein 10),MPHOSPH10 MPP10,Homo sapiens (Human),681
O00567,32.1930770874023,31.4629497528076,30.5844135284424,33.2336349487305,31.8608264923096,30.6372013092041,32.2192802429199,30.611047744751,33.0067138671875,31.5108852386475,31.7088241577148,30.7770595550537,31.4134801228841,31.9105542500814,31.945680618286133,31.33225631713867,-0.49707412719730115,0.6033049813726776,0.9742140838941091,0.6134243011474645,0.4647399829715246,0.7059921812834997,reviewed,NOP56_HUMAN,Nucleolar protein 56 (Nucleolar protein 5A),NOP56 NOL5A,Homo sapiens (Human),594
O00571,29.54811668396,28.7030582427979,27.2802963256836,30.6022243499756,29.0711193084717,27.9088478088379,29.3409595489502,27.9427967071533,30.8534088134766,28.6458148956299,29.3724384307861,28.5277576446533,28.510490417480497,29.1940638224284,29.37905502319337,28.84867032368977,-0.6835734049479036,0.5405153960126639,0.9742140838941091,0.5303846995035997,0.5795980574121423,0.7596434114167653,reviewed,DDX3X_HUMAN,"ATP-dependent RNA helicase DDX3X (EC 3.6.4.13) (CAP-Rf) (DEAD box protein 3, X-chromosomal) (DEAD box, X isoform) (DBX) (Helicase-like protein 2) (HLP2)",DDX3X DBX DDX3,Homo sapiens (Human),662
O00763,21.7513637542725,21.748987197876,23.1078910827637,24.5521545410156,20.5904579162598,23.0821285247803,20.2153968811035,22.915246963501,21.6585102081299,20.5545978546143,20.2864570617676,20.0426006317139,22.20274734497073,22.7415803273519,21.5963846842448,20.294551849365266,-0.5388329823811695,0.6866986987201289,0.9742140838941091,1.3018328348795336,0.17638634655184032,0.7036062715682534,reviewed,ACACB_HUMAN,Acetyl-CoA carboxylase 2 (EC 6.4.1.2) (ACC-beta),ACACB ACC2 ACCB,Homo sapiens (Human),2458
O14617,27.1889572143555,27.37451171875,24.967191696167,28.0556907653809,26.9976577758789,27.2076930999756,26.0567245483398,25.6485595703125,26.7259845733643,26.931568145752,26.3511066436768,24.4738273620605,26.510220209757495,27.42034721374513,26.1437562306722,25.918834050496432,-0.9101270039876361,0.3386562797888132,0.9742140838941091,0.22492218017576704,0.7938919390857986,0.8795637310734746,reviewed,AP3D1_HUMAN,AP-3 complex subunit delta-1 (AP-3 complex subunit delta) (Adaptor-related protein complex 3 subunit delta-1) (Delta-adaptin),AP3D1 PRO0039,Homo sapiens (Human),1153
O14646,26.5754241943359,25.3811302185059,23.6757297515869,26.0359058380127,25.1794967651367,23.9225234985352,25.8623065948486,23.9846801757813,25.5195331573486,24.3578338623047,25.8432598114014,24.0274925231934,25.2107613881429,25.0459753672282,25.12217330932617,24.742862065633165,0.16478602091470052,0.8819432104842949,0.9744879240508083,0.37931124369300306,0.6613469007976995,0.8019482104161081,reviewed,CHD1_HUMAN,Chromodomain-helicase-DNA-binding protein 1 (CHD-1) (EC 3.6.4.12) (ATP-dependent helicase CHD1),CHD1,Homo sapiens (Human),1710
O14654,25.1094856262207,24.5344524383545,22.3751754760742,25.60964012146,24.6864566802979,23.6430625915527,24.3511066436768,23.2961406707764,25.7076721191406,24.0772457122803,22.6163864135742,20.4873847961426,24.006371180216465,24.64638646443687,24.451639811197932,22.393672307332366,-0.6400152842204037,0.5598588694878711,0.9742140838941091,2.057967503865566,0.17621978911447161,0.7036062715682534,reviewed,IRS4_HUMAN,Insulin receptor substrate 4 (IRS-4) (160 kDa phosphotyrosine protein) (py160) (Phosphoprotein of 160 kDa) (pp160),IRS4,Homo sapiens (Human),1257
O14776,24.9179801940918,24.4861583709717,22.2184505462646,25.0731639862061,24.6152648925781,24.7593879699707,24.6485595703125,23.8288097381592,24.5521545410156,23.7285823822021,23.2169704437256,22.1014938354492,23.8741963704427,24.815938949584964,24.34317461649577,23.015682220458967,-0.9417425791422644,0.32904533711484746,0.9742140838941091,1.3274923960368028,0.07173679293813141,0.7036062715682534,reviewed,TCRG1_HUMAN,Transcription elongation regulator 1 (TATA box-binding protein-associated factor 2S) (Transcription factor CA150),TCERG1 CA150 TAF2S,Homo sapiens (Human),1098
O14874,22.2282657623291,20.0950679779053,19.9892597198486,21.0502986907959,22.2506084442139,21.4066143035889,22.3042373657227,20.9754238128662,23.2184505462646,21.126916885376,19.8398666381836,18.8876781463623,20.770864486694336,21.56917381286623,22.16603724161783,19.9514872233073,-0.7983093261718928,0.3809603556228043,0.9742140838941091,2.214550018310529,0.07362583396687784,0.7036062715682534,reviewed,BCKD_HUMAN,"Branched-chain alpha-ketoacid dehydrogenase kinase (BCKDH kinase) (BCKDHKIN) (BDK) (EC 2.7.11.1) ([3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial) (EC 2.7.11.4)",BCKDK,Homo sapiens (Human),412
O14929,24.5044574737549,22.0931205749512,20.6714172363281,22.3179721832275,22.7795658111572,20.6566619873047,20.4414749145508,22.0156326293945,21.5711193084717,20.642297744751,23.3511066436768,18.1988697052002,22.42299842834473,21.91806666056313,21.342742284138996,20.730758031209334,0.5049317677815992,0.7156834728847994,0.9742140838941091,0.6119842529296626,0.7148453724765473,0.8373081992083935,reviewed,HAT1_HUMAN,Histone acetyltransferase type B catalytic subunit (EC 2.3.1.48) (Histone acetyltransferase 1),HAT1 KAT1,Homo sapiens (Human),419
O14979,26.5135231018066,25.8456554412842,23.4298191070557,25.4105396270752,25.5462779998779,25.6375465393066,26.1134662628174,24.9890193939209,26.8142108917236,25.8857650756836,25.9427967071533,23.2228775024414,25.262999216715503,25.531454722086565,25.972232182820633,25.0171464284261,-0.2684555053710618,0.7891458721780925,0.9742140838941091,0.9550857543945348,0.41160373113299004,0.7036062715682534,reviewed,HNRDL_HUMAN,Heterogeneous nuclear ribonucleoprotein D-like (hnRNP D-like) (hnRNP DL) (AU-rich element RNA-binding factor) (JKT41-binding protein) (Protein laAUF1),HNRNPDL HNRPDL JKTBP,Homo sapiens (Human),420
O14980,26.4645080566406,25.4073028564453,24.8480453491211,27.8563804626465,26.7644577026367,24.7129287719727,25.5897808074951,22.9188899993896,28.1114768981934,23.9225234985352,25.4137706756592,23.2360801696777,25.57328542073567,26.4445889790853,25.540049235026032,24.190791447957366,-0.8713035583496307,0.44774097678285824,0.9742140838941091,1.349257787068666,0.45463047569119347,0.7036062715682534,reviewed,XPO1_HUMAN,Exportin-1 (Exp1) (Chromosome region maintenance 1 protein homolog),XPO1 CRM1,Homo sapiens (Human),1071
O15020,24.7895488739014,23.7795658111572,20.8423004150391,24.3645286560059,23.9933452606201,24.0690727233887,24.1946029663086,23.3910007476807,23.7695121765137,23.2360801696777,24.2243499755859,21.6051254272461,23.137138366699233,24.14231554667157,23.785038630167666,23.021851857503236,-1.0051771799723355,0.44559428617360286,0.9742140838941091,0.7631867726644295,0.39312182501832443,0.7036062715682534,reviewed,SPTN2_HUMAN,"Spectrin beta chain, non-erythrocytic 2 (Beta-III spectrin) (Spinocerebellar ataxia 5 protein)",SPTBN2 KIAA0302 SCA5,Homo sapiens (Human),2390
O15042,29.1936626434326,29.0400924682617,28.0243263244629,29.3848400115967,28.7324676513672,28.9622364044189,29.3930473327637,28.7612915039063,29.4452953338623,28.8504314422607,28.7581176757813,27.8915710449219,28.7526938120524,29.0265146891276,29.1998780568441,28.5000400543213,-0.27382087707519887,0.5441715673113758,0.9742140838941091,0.6998380025227995,0.1364175603810477,0.7036062715682534,reviewed,SR140_HUMAN,U2 snRNP-associated SURP motif-containing protein (140 kDa Ser/Arg-rich domain protein) (U2-associated protein SR140),U2SURP KIAA0332 SR140,Homo sapiens (Human),1029
O15118,32.5933456420898,32.250675201416,28.3786525726318,31.2591209411621,32.018367767334,31.5618362426758,31.5618362426758,31.7211017608643,32.0050392150879,31.3620204925537,32.1145820617676,27.9088478088379,31.07422447204587,31.613108317057296,31.762659072875994,30.461816787719737,-0.5388838450114264,0.7139935818550902,0.9742140838941091,1.300842285156257,0.37405549204576394,0.7036062715682534,reviewed,NPC1_HUMAN,NPC intracellular cholesterol transporter 1 (Niemann-Pick C1 protein),NPC1,Homo sapiens (Human),1278
O60684,21.5561962127686,22.9387645721436,19.8039302825928,21.6214370727539,20.6937408447266,19.1262550354004,21.003288269043,21.068380355835,22.5899124145508,20.3997802734375,20.3516540527344,18.5457344055176,21.432963689168332,20.4804776509603,21.553860346476267,19.765722910563166,0.9524860382080327,0.4588349752934206,0.9742140838941091,1.7881374359131001,0.08926883046220199,0.7036062715682534,reviewed,IMA7_HUMAN,Importin subunit alpha-7 (Karyopherin subunit alpha-6),KPNA6 IPOA7,Homo sapiens (Human),536
O15164,24.7337608337402,23.7795658111572,20.7207450866699,24.4676208496094,19.3853416442871,23.2006015777588,24.2820663452148,22.9441375732422,23.9405574798584,20.5728931427002,24.0772457122803,19.1618347167969,23.078023910522433,22.3511880238851,23.722253799438466,21.270657857259135,0.7268358866373319,0.7280994141428085,0.9742140838941091,2.451595942179331,0.18100302847546734,0.7036062715682534,reviewed,TIF1A_HUMAN,Transcription intermediary factor 1-alpha (TIF1-alpha) (EC 2.3.2.27) (E3 ubiquitin-protein ligase TRIM24) (RING finger protein 82) (RING-type E3 ubiquitin transferase TIF1-alpha) (Tripartite motif-containing protein 24),TRIM24 RNF82 TIF1 TIF1A,Homo sapiens (Human),1050
O15213,27.9649925231934,27.8384590148926,25.931568145752,29.2691898345947,27.5388984680176,26.2076930999756,28.1651878356934,27.1507377624512,29.2053642272949,27.5388984680176,27.8915710449219,25.5074863433838,27.24500656127933,27.67192713419597,28.173763275146502,26.979318618774432,-0.42692057291663943,0.7185894214123856,0.9742140838941091,1.1944446563720703,0.2773284252542286,0.7036062715682534,reviewed,WDR46_HUMAN,WD repeat-containing protein 46 (WD repeat-containing protein BING4),WDR46 BING4 C6orf11 FP221,Homo sapiens (Human),610
O15226,29.8187885284424,29.4823150634766,27.5754241943359,30.4133682250977,28.931568145752,29.1960105895996,29.5879936218262,28.9976577758789,29.9677429199219,29.0322303771973,29.5790271759033,26.5521545410156,28.9588425954183,29.51364898681643,29.517798105875666,28.387804031372067,-0.5548063913981309,0.5424442833831189,0.9742140838941091,1.1299940745035997,0.31013313189398684,0.7036062715682534,reviewed,NKRF_HUMAN,NF-kappa-B-repressing factor (NFkB-repressing factor) (NRF) (Protein ITBA4),NKRF ITBA4 NRF,Homo sapiens (Human),690
O15269,20.8352890014648,22.5117149353027,19.9083518981934,21.6587295532227,25.1094856262207,19.8666725158691,20.0809516906738,21.4270935058594,25.8117637634277,20.0171184539795,20.9894733428955,16.8663444519043,21.08511861165363,22.211629231770832,22.43993631998697,19.290978749593098,-1.1265106201172017,0.5475442345599066,0.9742140838941091,3.148957570393872,0.21358371387340533,0.7036062715682534,reviewed,SPTC1_HUMAN,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),SPTLC1 LCB1,Homo sapiens (Human),473
O15355,26.2169704437256,26.1154518127441,23.7695121765137,25.2785263061523,25.5696430206299,26.7259845733643,26.0608520507813,25.7414970397949,22.8745517730713,23.9933452606201,24.2961406707764,22.5568389892578,25.367311477661133,25.85805130004883,24.892300287882502,23.615441640218098,-0.49073982238769887,0.619615811931256,0.9742140838941091,1.2768586476644046,0.3277602333525175,0.7036062715682534,reviewed,PPM1G_HUMAN,Protein phosphatase 1G (EC 3.1.3.16) (Protein phosphatase 1C) (Protein phosphatase 2C isoform gamma) (PP2C-gamma) (Protein phosphatase magnesium-dependent 1 gamma),PPM1G PPM1C,Homo sapiens (Human),546
O15371,27.7194709777832,27.4551296234131,25.052583694458,28.8019332885742,27.1794967651367,27.1410217285156,27.6864566802979,26.7129287719727,27.9202537536621,26.7389240264893,27.1983547210693,24.7389240264893,26.742394765218098,27.707483927408834,27.4398797353109,26.225400924682635,-0.9650891621907363,0.3932430816751996,0.9742140838941091,1.2144788106282647,0.22204448953007136,0.7036062715682534,reviewed,EIF3D_HUMAN,Eukaryotic translation initiation factor 3 subunit D (eIF3d) (Eukaryotic translation initiation factor 3 subunit 7) (eIF-3-zeta) (eIF3 p66),EIF3D EIF3S7,Homo sapiens (Human),548
O15381,31.2591209411621,31.0348567962646,29.2691898345947,32.3409576416016,30.6198196411133,30.3409595489502,31.4629497528076,30.2192802429199,31.9188327789307,30.7292308807373,31.0150470733643,29.1189212799072,30.521055857340468,31.100578943888365,31.200354258219402,30.287733078002933,-0.5795230865478977,0.5492612324200437,0.9742140838941091,0.912621180216469,0.30621427684402436,0.7036062715682534,reviewed,NVL_HUMAN,Nuclear valosin-containing protein-like (NVLp) (Nuclear VCP-like protein),NVL NVL2,Homo sapiens (Human),856
O15446,21.5146789550781,22.6076946258545,19.0693092346191,22.7835674285889,22.8876247406006,20.9681587219238,20.8770008087158,20.6835613250732,22.6605777740479,22.0756149291992,20.8481845855713,18.4065628051758,21.063894271850568,22.213116963704433,21.407046635945633,20.44345410664877,-1.1492226918538648,0.39868991610800025,0.9742140838941091,0.9635925292968643,0.4832955795599973,0.7199709545438779,reviewed,RPA34_HUMAN,DNA-directed RNA polymerase I subunit RPA34 (A34.5) (Antisense to ERCC-1 protein) (ASE-1) (CD3-epsilon-associated protein) (CD3E-associated protein) (DNA-directed RNA polymerase I subunit G) (RNA polymerase I-associated factor PAF49),POLR1G ASE1 CAST CD3EAP PAF49,Homo sapiens (Human),510
O60675,23.3910007476807,20.8083724975586,19.2076015472412,20.5866680145264,22.7935237884521,20.91774559021,20.8587913513184,20.532844543457,23.2520523071289,21.2105026245117,20.2357711791992,18.9619255065918,21.135658264160167,21.432645797729503,21.547896067301433,20.136066436767567,-0.29698753356933594,0.8422675629528198,0.9744879240508083,1.411829630533866,0.25987784325210195,0.7036062715682534,reviewed,MAFK_HUMAN,Transcription factor MafK (Erythroid transcription factor NF-E2 p18 subunit),MAFK,Homo sapiens (Human),156
O15541,26.4769191741943,25.2642765045166,23.4040565490723,25.2570991516113,25.9627876281738,26.2660655975342,25.1832885742188,25.1642284393311,20.9024219512939,25.1014938354492,25.8717346191406,22.2933368682861,25.048417409261067,25.82865079243977,23.749979654947936,24.422188440958635,-0.7802333831787038,0.4541895815391021,0.9742140838941091,-0.6722087860106996,0.7265503194846168,0.8436474963289801,reviewed,R113A_HUMAN,E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183),RNF113A RNF113 ZNF183,Homo sapiens (Human),343
O43143,30.6797618865967,29.9259223937988,28.37451171875,30.9399967193604,29.9259223937988,29.6628875732422,30.4133682250977,29.9399967193604,30.7533416748047,29.7848777770996,29.8740825653076,28.2489814758301,29.660065333048504,30.176268895467132,30.368902206420938,29.30264727274577,-0.5162035624186281,0.5454407555071716,0.9742140838941091,1.066254933675168,0.13872522663042303,0.7036062715682534,reviewed,DHX15_HUMAN,ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43),DHX15 DBP1 DDX15,Homo sapiens (Human),795
